token,tsne_2_component_1,tsne_2_component_2,word_count
abuse,18.373217,64.22156,2290
voted,7.6964316,66.97938,2286
most,51.331284,57.07795,2275
defense,68.57576,12.156747,2247
clinton,54.689095,49.54049,2229
which,9.623154,46.229977,2226
won,-5.2324443,52.16947,2210
wants,9.297105,63.504948,2194
fair,-0.96139807,55.42391,2191
way,11.923711,39.946655,2187
ll,-5.148683,52.24424,2179
thing,51.631603,-18.578234,2177
good,27.715483,41.67884,2149
support,74.41449,19.239058,2123
managers,72.49054,32.934483,2108
years,65.67121,3.8176465,2085
another,-23.004986,40.905025,2079
fact,2.7899044,40.58606,2068
many,5.1891155,37.85058,2058
witness,-3.107793,57.92749,2054
back,30.85855,49.364983,2027
documents,-1.9645982,56.539185,2027
testify,-2.9267035,57.959736,2010
sethabramson,58.85939,-7.294813,2007
also,63.829746,22.272692,2003
state,24.633972,67.84561,1994
potus,42.96275,49.488094,1961
ever,32.520905,59.362392,1940
parnas,58.066917,17.211363,1937
watch,57.85718,9.086621,1927
crime,21.523409,65.19716,1924
facts,64.0749,7.1275725,1921
clear,-0.55030245,43.91503,1920
week,64.795715,3.8729298,1917
poll,74.384315,20.347546,1897
media,45.721825,45.054928,1894
rules,9.280621,61.683247,1892
schumer,48.242558,53.369827,1882
barr,66.239624,19.068783,1882
other,-23.640528,41.664726,1880
war,52.116924,32.527527,1863
told,8.362955,47.716873,1856
senatemajldr,23.188108,54.209946,1853
well,28.982742,39.48035,1847
great,49.169792,39.25535,1845
saying,4.8634214,45.445927,1833
read,21.354984,48.764637,1828
much,25.512709,49.579346,1809
done,-4.857762,44.564117,1801
called,75.32372,15.954496,1799
oath,6.7213135,63.90063,1798
majority,74.78388,19.341951,1783
am,62.34307,-13.560748,1779
kylegriffin,60.399193,-4.195302,1776
own,17.927366,48.51074,1774
keep,8.67173,53.266335,1767
isn,-8.470876,55.0483,1765
may,-5.058539,52.36813,1748
testimony,-3.105556,57.881092,1744
fox,63.73449,10.459624,1739
cnn,63.529037,10.758412,1738
hear,1.7778044,55.115757,1731
truth,38.794083,38.84202,1728
man,32.978172,43.00364,1719
funder,61.81473,-8.899083,1702
where,64.79244,8.581179,1688
same,36.702538,49.69032,1687
without,-9.263476,42.215565,1686
corrupt,37.158405,43.117485,1680
job,19.421848,45.091724,1680
too,30.245682,43.079704,1678
put,13.539953,49.815384,1649
court,58.037846,47.186016,1636
under,64.59763,16.785688,1631
next,26.302269,36.68332,1631
removed,73.63264,20.369137,1608
chief,51.5657,51.69957,1606
remember,0.109722584,52.04663,1606
dershowitz,37.074497,62.864235,1606
since,-2.8697162,43.809826,1594
bill,58.80746,28.042875,1589
graham,75.41159,24.6929,1587
wrong,9.999622,41.294712,1586
send,4.7480807,60.311592,1581
states,50.303413,24.208975,1579
off,58.625546,35.89853,1577
already,-5.553191,44.41539,1576
nadler,71.25418,33.532673,1572
believe,8.707631,49.409767,1562
tomfitton,44.82014,51.539547,1558
collins,72.320694,26.475868,1558
lawyers,67.55452,12.584211,1551
doing,27.368385,48.15768,1549
question,45.888275,53.55694,1548
hold,3.7117128,60.082592,1545
foreign,16.959492,53.85106,1533
anyone,28.363787,49.66703,1525
national,66.182495,21.91137,1524
msnbc,61.076817,-3.031607,1523
dem,70.98529,31.164667,1519
votes,7.694635,66.95382,1518
vindman,64.18645,23.306458,1517
joe,68.53406,22.82678,1515
