token,umap_2_component_1,umap_2_component_2,word_count
doesn,-1.6734055,10.558705,2464
rep,-0.600994,13.180754,2444
gtconway,-3.547115,13.065325,2429
while,-0.7511455,11.460553,2416
made,-0.8746576,9.879903,2415
go,-1.0755203,10.441717,2408
really,-2.146421,11.9176655,2383
john,-0.42858243,12.254953,2378
some,-2.1341195,11.502404,2352
very,-1.6795527,12.595366,2349
partisan,-1.79666,12.371454,2348
take,-1.0389458,10.406367,2335
down,-1.1477461,12.195941,2324
joycewhitevance,-3.509581,13.141037,2315
repadamschiff,-1.7913221,12.4785385,2290
last,-0.4105938,11.836306,2290
abuse,-1.0043299,11.053287,2290
voted,-0.703209,13.168011,2286
most,-1.3529133,12.220278,2275
defense,-0.56812036,12.390435,2247
clinton,-0.6977561,11.975396,2229
which,-1.4788184,11.038249,2226
won,-1.6087533,10.31611,2210
wants,-1.5253043,11.189236,2194
fair,-1.3228567,11.085396,2191
way,-2.04711,10.88563,2187
ll,-1.5158219,10.265059,2179
thing,-2.092818,11.430192,2177
good,-2.2063298,11.966598,2149
support,-0.987042,13.205912,2123
managers,-0.7771694,12.593357,2108
years,-0.24604456,11.917866,2085
another,-0.61771667,11.875726,2079
fact,-1.7574971,11.307839,2068
many,-2.281788,11.535633,2058
witness,-0.7382814,11.583222,2054
back,-1.2165716,12.326342,2027
documents,-0.91745317,11.132836,2027
testify,-0.92663884,11.37167,2010
sethabramson,-3.4762552,13.148544,2007
also,-1.5141604,11.641822,2003
state,-0.9743528,12.168273,1994
potus,-1.3241163,12.330592,1961
ever,-1.5422567,11.659287,1940
parnas,-0.23824693,11.955516,1937
watch,-0.8698967,12.663215,1927
crime,-0.66534716,11.113594,1924
facts,-1.6931885,11.025439,1921
clear,-2.5109382,11.599813,1920
week,-0.5538679,12.136323,1917
poll,-1.0425775,13.351618,1897
media,-0.9569418,11.924827,1894
rules,-1.3558811,12.407174,1892
schumer,-1.1289183,12.88819,1882
barr,-0.28762582,12.387231,1882
other,-1.4788802,9.100956,1880
war,-0.5764789,11.412289,1863
told,-0.6846218,11.843152,1856
senatemajldr,-2.0109935,12.404752,1853
